date,value
02/01/2014,524.6
03/01/2014,529.6
04/01/2014,529.2
05/01/2014,529.0
06/01/2014,528.8
07/01/2014,531.1
08/01/2014,531.7
09/01/2014,532.1
10/01/2014,534.0
11/01/2014,532.6
12/01/2014,531.9
13/01/2014,531.2
14/01/2014,527.5
15/01/2014,527.8
16/01/2014,529.5
17/01/2014,531.7
18/01/2014,534.3
19/01/2014,535.7
20/01/2014,537.0
21/01/2014,541.6
22/01/2014,543.9
23/01/2014,544.2
24/01/2014,546.4
25/01/2014,548.5
26/01/2014,549.5
27/01/2014,550.5
28/01/2014,548.3
29/01/2014,547.1
30/01/2014,548.8
31/01/2014,547.2
01/02/2014,550.5
02/02/2014,552.2
03/02/2014,553.8
04/02/2014,556.5
05/02/2014,557.6
06/02/2014,559.2
07/02/2014,556.1
08/02/2014,554.7
09/02/2014,553.9
10/02/2014,553.2
11/02/2014,555.4
12/02/2014,554.6
13/02/2014,552.9
14/02/2014,549.4
15/02/2014,548.2
16/02/2014,547.6
17/02/2014,546.9
18/02/2014,547.0
19/02/2014,548.1
20/02/2014,552.4
21/02/2014,555.4
22/02/2014,555.4
23/02/2014,555.5
24/02/2014,555.5
25/02/2014,555.1
26/02/2014,556.7
27/02/2014,559.0
28/02/2014,563.3
01/03/2014,561.4
02/03/2014,560.4
03/03/2014,559.4
04/03/2014,561.5
05/03/2014,558.3
06/03/2014,562.7
07/03/2014,559.5
08/03/2014,560.5
09/03/2014,561.0
10/03/2014,561.6
11/03/2014,569.6
12/03/2014,570.7
13/03/2014,573.2
14/03/2014,570.8
15/03/2014,571.4
16/03/2014,571.7
17/03/2014,572.0
18/03/2014,570.4
19/03/2014,570.9
20/03/2014,569.7
21/03/2014,568.5
22/03/2014,565.2
23/03/2014,563.6
24/03/2014,561.9
25/03/2014,562.7
26/03/2014,559.6
27/03/2014,555.8
28/03/2014,551.4
29/03/2014,551.0
30/03/2014,550.8
31/03/2014,550.5
01/04/2014,551.2
02/04/2014,550.6
03/04/2014,553.6
04/04/2014,556.0
05/04/2014,555.5
06/04/2014,555.3
07/04/2014,555.1
08/04/2014,553.6
09/04/2014,546.7
10/04/2014,548.1
11/04/2014,545.0
12/04/2014,546.6
13/04/2014,547.5
14/04/2014,548.3
15/04/2014,549.0
16/04/2014,554.2
17/04/2014,555.8
18/04/2014,556.7
19/04/2014,557.2
20/04/2014,557.4
21/04/2014,557.6
22/04/2014,557.0
23/04/2014,561.7
24/04/2014,563.8
25/04/2014,559.7
26/04/2014,560.0
27/04/2014,560.2
28/04/2014,560.4
29/04/2014,559.5
30/04/2014,560.6
01/05/2014,562.6
02/05/2014,564.6
03/05/2014,564.0
04/05/2014,563.7
05/05/2014,563.4
06/05/2014,565.1
07/05/2014,566.9
08/05/2014,566.1
09/05/2014,555.7
10/05/2014,555.8
11/05/2014,555.8
12/05/2014,555.8
13/05/2014,551.4
14/05/2014,549.1
15/05/2014,550.2
16/05/2014,553.6
17/05/2014,552.0
18/05/2014,551.3
19/05/2014,550.5
20/05/2014,548.6
21/05/2014,550.0
22/05/2014,551.5
23/05/2014,550.7
24/05/2014,552.3
25/05/2014,553.1
26/05/2014,554.0
27/05/2014,554.0
28/05/2014,556.0
29/05/2014,553.0
30/05/2014,548.0
31/05/2014,549.4
01/06/2014,550.1
02/06/2014,550.7
03/06/2014,550.2
04/06/2014,550.7
05/06/2014,552.6
06/06/2014,551.6
07/06/2014,550.6
08/06/2014,550.1
09/06/2014,549.6
10/06/2014,549.9
11/06/2014,553.1
12/06/2014,554.4
13/06/2014,553.4
14/06/2014,554.1
15/06/2014,554.5
16/06/2014,554.8
17/06/2014,556.8
18/06/2014,559.0
19/06/2014,559.1
20/06/2014,556.7
21/06/2014,556.9
22/06/2014,557.0
23/06/2014,557.1
24/06/2014,553.1
25/06/2014,550.6
26/06/2014,550.1
27/06/2014,550.0
28/06/2014,550.3
29/06/2014,550.5
30/06/2014,550.6
01/07/2014,552.7
02/07/2014,552.1
03/07/2014,552.2
04/07/2014,550.8
05/07/2014,549.8
06/07/2014,549.3
07/07/2014,548.7
08/07/2014,550.5
09/07/2014,552.4
10/07/2014,553.5
11/07/2014,553.3
12/07/2014,553.7
13/07/2014,553.9
14/07/2014,554.1
15/07/2014,553.9
16/07/2014,555.2
17/07/2014,556.4
18/07/2014,562.9
19/07/2014,564.9
20/07/2014,565.9
21/07/2014,566.9
22/07/2014,565.9
23/07/2014,563.7
24/07/2014,563.9
25/07/2014,563.3
26/07/2014,563.4
27/07/2014,563.4
28/07/2014,563.5
29/07/2014,563.6
30/07/2014,565.9
31/07/2014,570.5
01/08/2014,573.1
02/08/2014,572.9
03/08/2014,572.7
04/08/2014,572.6
05/08/2014,571.8
06/08/2014,576.7
07/08/2014,577.4
08/08/2014,576.2
09/08/2014,576.2
10/08/2014,576.2
11/08/2014,576.1
12/08/2014,574.3
13/08/2014,576.2
14/08/2014,576.5
15/08/2014,576.5
16/08/2014,576.5
17/08/2014,576.5
18/08/2014,576.5
19/08/2014,576.2
20/08/2014,578.5
21/08/2014,583.1
22/08/2014,582.8
23/08/2014,583.0
24/08/2014,583.1
25/08/2014,583.2
26/08/2014,583.1
27/08/2014,584.9
28/08/2014,588.7
29/08/2014,593.3
30/08/2014,592.1
31/08/2014,591.5
01/09/2014,590.9
02/09/2014,589.0
03/09/2014,591.6
04/09/2014,588.5
05/09/2014,591.4
06/09/2014,588.9
07/09/2014,587.7
08/09/2014,586.4
09/09/2014,585.3
10/09/2014,592.3
11/09/2014,590.8
12/09/2014,590.1
13/09/2014,590.4
14/09/2014,590.5
15/09/2014,590.6
16/09/2014,594.7
17/09/2014,593.8
18/09/2014,593.9
19/09/2014,594.0
20/09/2014,594.0
21/09/2014,594.1
22/09/2014,594.1
23/09/2014,600.4
24/09/2014,600.3
25/09/2014,598.9
26/09/2014,598.9
27/09/2014,599.3
28/09/2014,599.5
29/09/2014,599.7
30/09/2014,601.7
01/10/2014,599.2
02/10/2014,597.3
03/10/2014,596.1
04/10/2014,597.4
05/10/2014,598.0
06/10/2014,598.6
07/10/2014,597.7
08/10/2014,597.0
09/10/2014,594.7
10/10/2014,592.1
11/10/2014,593.2
12/10/2014,593.8
13/10/2014,594.3
14/10/2014,590.0
15/10/2014,588.4
16/10/2014,588.2
17/10/2014,591.2
18/10/2014,589.4
19/10/2014,588.5
20/10/2014,587.6
21/10/2014,587.1
22/10/2014,583.9
23/10/2014,584.1
24/10/2014,584.4
25/10/2014,584.3
26/10/2014,584.3
27/10/2014,584.2
28/10/2014,585.1
29/10/2014,581.6
30/10/2014,576.7
31/10/2014,576.6
01/11/2014,576.5
02/11/2014,576.5
03/11/2014,576.5
04/11/2014,580.6
05/11/2014,586.0
06/11/2014,588.5
07/11/2014,590.4
08/11/2014,590.1
09/11/2014,589.9
10/11/2014,589.7
11/11/2014,586.3
12/11/2014,590.6
13/11/2014,592.5
14/11/2014,594.1
15/11/2014,595.0
16/11/2014,595.4
17/11/2014,595.8
18/11/2014,595.2
19/11/2014,596.2
20/11/2014,599.5
21/11/2014,600.4
22/11/2014,597.8
23/11/2014,596.6
24/11/2014,595.3
25/11/2014,594.4
26/11/2014,597.9
27/11/2014,600.3
28/11/2014,598.9
29/11/2014,602.2
30/11/2014,603.8
01/12/2014,605.5
02/12/2014,610.8
03/12/2014,614.8
04/12/2014,612.4
05/12/2014,611.7
06/12/2014,611.5
07/12/2014,611.5
08/12/2014,611.4
09/12/2014,611.4
10/12/2014,613.8
11/12/2014,615.5
12/12/2014,615.9
13/12/2014,616.7
14/12/2014,617.1
15/12/2014,617.5
16/12/2014,618.5
17/12/2014,621.4
18/12/2014,619.2
19/12/2014,614.2
20/12/2014,613.4
21/12/2014,613.0
22/12/2014,612.6
23/12/2014,610.3
24/12/2014,608.5
25/12/2014,608.8
26/12/2014,609.2
27/12/2014,608.7
28/12/2014,608.4
29/12/2014,608.2
30/12/2014,607.4
31/12/2014,607.1
01/01/2015,606.9
02/01/2015,606.8
03/01/2015,609.6
04/01/2015,611.0
05/01/2015,612.5
06/01/2015,616.8
07/01/2015,616.1
08/01/2015,614.8
09/01/2015,613.1
10/01/2015,613.6
11/01/2015,613.8
12/01/2015,614.0
13/01/2015,616.5
14/01/2015,617.5
15/01/2015,625.4
16/01/2015,623.7
17/01/2015,625.3
18/01/2015,626.2
19/01/2015,627.0
20/01/2015,629.1
21/01/2015,627.2
22/01/2015,628.4
23/01/2015,626.0
24/01/2015,626.2
25/01/2015,626.3
26/01/2015,626.4
27/01/2015,625.7
28/01/2015,623.4
29/01/2015,622.4
30/01/2015,626.5
31/01/2015,629.3
01/02/2015,630.6
02/02/2015,632.0
03/02/2015,632.2
04/02/2015,627.0
05/02/2015,627.1
06/02/2015,624.8
07/02/2015,624.0
08/02/2015,623.6
09/02/2015,623.2
10/02/2015,626.0
11/02/2015,626.4
12/02/2015,628.2
13/02/2015,626.9
14/02/2015,623.6
15/02/2015,621.9
16/02/2015,620.2
17/02/2015,619.7
18/02/2015,619.7
19/02/2015,620.4
20/02/2015,620.3
21/02/2015,618.6
22/02/2015,617.7
23/02/2015,616.9
24/02/2015,621.2
25/02/2015,622.9
26/02/2015,619.5
27/02/2015,617.7
28/02/2015,618.2
01/03/2015,618.5
02/03/2015,618.8
03/03/2015,617.4
04/03/2015,617.6
05/03/2015,619.8
06/03/2015,619.6
07/03/2015,622.1
08/03/2015,623.4
09/03/2015,624.7
10/03/2015,628.5
11/03/2015,633.0
12/03/2015,637.6
13/03/2015,633.5
14/03/2015,636.3
15/03/2015,637.7
16/03/2015,639.0
17/03/2015,639.4
18/03/2015,640.8
19/03/2015,642.2
20/03/2015,638.8
21/03/2015,637.2
22/03/2015,636.4
23/03/2015,635.6
24/03/2015,627.0
25/03/2015,623.7
26/03/2015,619.8
27/03/2015,620.7
28/03/2015,621.7
