date,LL_CH,LL_EXT,LL_TOT,PER_CH,PER_EXT,PER_TOT
01/01/2010,15633,3819,19452,28840,6852,35692
01/02/2010,20482,2669,23151,40518,4431,44949
01/03/2010,3469,428,3897,7625,823,8448
01/04/2010,5410,646,6056,8256,1211,9467
01/05/2010,6164,795,6959,9389,1352,10741
01/06/2010,6127,312,6439,8972,661,9633
01/07/2010,7455,581,8036,10924,1003,11927
01/08/2010,7446,761,8207,10740,1223,11963
01/09/2010,7753,1004,8757,11886,1520,13406
01/10/2010,11833,1718,13551,18377,3830,22207
01/11/2010,11890,1700,13590,18495,4159,22654
01/12/2010,8428,1583,10011,13314,3318,16632
01/01/2011,16317,3451,19768,27969,6774,34743
01/02/2011,31183,3247,34430,53670,5515,59185
01/03/2011,6411,1384,7795,10516,2881,13397
01/04/2011,10407,1880,12287,15365,3564,18929
01/05/2011,9232,1940,11172,15449,4042,19491
01/06/2011,9123,995,10118,15431,1978,17409
01/07/2011,10805,1330,12135,17429,2228,19657
01/08/2011,10426,1139,11565,16727,2036,18763
01/09/2011,9645,970,10615,16916,2204,19120
01/10/2011,12771,1851,14622,21926,3665,25591
01/11/2011,13372,2416,15788,22112,4747,26859
01/12/2011,10997,2224,13221,17211,4021,21232
01/01/2012,20596,4396,24992,35939,8419,44358
01/02/2012,28860,3694,32554,51173,6719,57892
01/03/2012,12146,2123,14269,19565,3998,23563
01/04/2012,11030,2132,13162,17030,3952,20982
01/05/2012,9671,1165,10836,14724,2005,16729
01/06/2012,8515,623,9138,13682,1295,14977
01/07/2012,10018,1130,11148,17237,2210,19447
01/08/2012,9336,1089,10425,15767,1811,17578
01/09/2012,11503,1255,12758,20051,2983,23034
01/10/2012,12439,1605,14044,21867,3827,25694
01/11/2012,15443,2355,17798,26876,5923,32799
01/12/2012,10450,1710,12160,17393,3863,21256
01/01/2013,20543,3693,24236,38302,6907,45209
01/02/2013,29285,3826,33111,55183,7220,62403
01/03/2013,10853,2653,13506,19770,5245,25015
01/04/2013,8632,1508,10140,15152,3200,18352
01/05/2013,7951,1274,9225,13326,2756,16082
01/06/2013,7829,720,8549,12557,1480,14037
01/07/2013,10234,1066,11300,16962,2400,19362
01/08/2013,9623,1006,10629,16192,2322,18514
01/09/2013,10445,1257,11702,19000,2450,21450
01/10/2013,13033,1895,14928,23966,4121,28087
01/11/2013,13249,2652,15901,22338,5233,27571
01/12/2013,11255,2262,13517,19065,4272,23337
01/01/2014,22035,4180,26215,37890,7954,45844
01/02/2014,30336,3050,33386,55354,5129,60483
01/03/2014,13826,2396,16222,23432,4091,27523
01/04/2014,11665,1473,13138,20424,2621,23045
01/05/2014,9273,1098,10371,16426,1971,18397
01/06/2014,8306,741,9047,14135,1563,15698
01/07/2014,12544,925,13469,19327,1674,21001
01/08/2014,10094,663,10757,16662,1406,18068
01/09/2014,11387,961,12348,17640,2056,19696
01/10/2014,14746,1117,15863,25531,2214,27745
01/11/2014,14248,2235,16483,23323,4974,28297
01/12/2014,12918,1770,14688,19477,3579,23056
01/01/2015,28929,4566,33495,56783,9692,66475
01/02/2015,37707,3819,41526,81361,8033,89394
01/03/2015,19268,3150,22419,34672,5938,40610
01/04/2015,14338,2293,16630,24467,4157,28624
01/05/2015,14606,1992,16597,29240,4637,33877
01/06/2015,13931,1484,15414,22947,3122,26069
01/07/2015,20058,2046,22104,35841,4673,40513
01/08/2015,14036,1259,15295,23724,2706,26430
01/09/2015,13327,1440,14767,22560,2986,25546
01/10/2015,17644,1912,19556,32395,3951,36346
01/11/2015,18682,3089,21771,34061,6406,40467
01/12/2015,16188,3311,19499,28411,6724,35135
01/01/2016,29914,5485,35399,54906,11639,66545
01/02/2016,38745,4456,43201,78916,8691,87607
01/03/2016,19316,3395,22711,36124,6902,43026
01/04/2016,13918,2642,16560,22425,5245,27670
01/05/2016,13586,1897,15483,23157,5051,28208
01/06/2016,13610,1494,15104,22933,3209,26142
01/07/2016,26638,3983,30622,51298,8924,60222
01/08/2016,21827,2409,24236,37473,4472,41945
01/09/2016,21903,3122,25025,38578,6768,45347
01/10/2016,30054,4333,34387,59840,8993,68834
01/11/2016,28832,5802,34634,55238,12512,67750
01/12/2016,26804,6073,32877,47221,12455,59676
01/01/2017,39370,11412,50782,85233,23841,109073
01/02/2017,47907,7315,55222,108761,14906,123667
01/03/2017,29628,6849,36478,55670,13137,68807
01/04/2017,24391,4447,28838,44044,9061,53105
01/05/2017,19010,2760,21770,34775,6222,40996
01/06/2017,19731,1603,21334,36905,3577,40482
01/07/2017,28582,2774,31356,52668,5881,58549
01/08/2017,21193,2274,23468,37698,4104,41802
01/09/2017,22549,2559,25108,39914,5086,44999
01/10/2017,27503,3504,31007,50023,7864,57887
01/11/2017,25582,5044,30626,45937,9644,55581
01/12/2017,26602,5157,31760,44410,10121,54531
01/01/2018,41364,9917,51281,86635,20312,106948
01/02/2018,56072,7183,63255,122086,13508,135593
01/03/2018,32473,6029,38502,61939,12426,74365
01/04/2018,23752,4038,27790,42875,7886,50761
01/05/2018,20188,1719,21907,37247,3433,40680
01/06/2018,17696,1374,19070,31442,2461,33903
01/07/2018,28034,1829,29863,49534,3454,52987
01/08/2018,21393,1400,22793,41220,3526,44746
01/09/2018,21934,1566,23500,40525,2717,43242
01/10/2018,22500,2234,24734,41317,4714,46030
01/11/2018,26849,2858,29707,51676,6056,57732
01/12/2018,24047,3355,27402,42849,7774,50622
01/01/2019,39736,4447,44182,82144,9646,91790
01/02/2019,53477,3854,57330,121356,8291,129647
01/03/2019,29057,3147,32203,53769,6252,60021
01/04/2019,23942,2499,26441,46953,4551,51503
01/05/2019,22945,1833,24778,39510,4145,43655
01/06/2019,20011,836,20847,34724,2571,37295
01/07/2019,27668,1710,29378,51690,4000,55689
01/08/2019,25955,1239,27194,44367,2781,47148
01/09/2019,27469,1563,29032,58212,3490,61702
01/10/2019,22693,1999,24692,52423,3842,56265
01/11/2019,22859,1817,24676,44746,3423,48170
01/12/2019,25305,2478,27782,47181,4641,51822
01/01/2020,44314,3290,47604,87408,6214,93622
01/02/2020,56788,3824,60611,120350,8402,128751
01/03/2020,15884,618,16502,31302,1177,32479
