date,imacec
31/01/2013,95.6
28/02/2013,91.1
31/03/2013,103.4
30/04/2013,102.8
31/05/2013,102.3
30/06/2013,99.5
31/07/2013,96.3
31/08/2013,98.9
30/09/2013,94.1
31/10/2013,102.2
30/11/2013,105.4
31/12/2013,108.4
31/01/2014,97.6
28/02/2014,93.5
31/03/2014,106.5
30/04/2014,103.8
31/05/2014,103.3
30/06/2014,100.5
31/07/2014,96.6
31/08/2014,99.6
30/09/2014,96.9
31/10/2014,104.2
30/11/2014,107.1
31/12/2014,111.0
31/01/2015,99.7
28/02/2015,95.8
31/03/2015,109.1
30/04/2015,107.0
31/05/2015,105.2
30/06/2015,103.4
31/07/2015,99.7
31/08/2015,102.6
30/09/2015,100.0
31/10/2015,106.3
30/11/2015,110.3
31/12/2015,114.2
31/01/2016,102.1
29/02/2016,100.3
31/03/2016,112.1
30/04/2016,108.2
31/05/2016,107.7
30/06/2016,105.7
31/07/2016,100.5
31/08/2016,105.4
30/09/2016,101.9
31/10/2016,107.1
30/11/2016,112.3
31/12/2016,116.0
31/01/2017,103.5
28/02/2017,99.7
31/03/2017,114.0
30/04/2017,107.6
31/05/2017,109.6
30/06/2017,106.8
31/07/2017,102.4
31/08/2017,107.0
30/09/2017,102.9
31/10/2017,109.5
30/11/2017,115.6
31/12/2017,118.6
31/01/2018,107.7
28/02/2018,103.1
31/03/2018,117.5
30/04/2018,114.8
31/05/2018,114.3
30/06/2018,111.3
31/07/2018,105.6
31/08/2018,110.6
30/09/2018,105.2
31/10/2018,115.0
30/11/2018,118.7
31/12/2018,122.2
31/01/2019,110.3
28/02/2019,105.3
31/03/2019,120.0
30/04/2019,117.2
31/05/2019,117.5
30/06/2019,113.3
31/07/2019,109.6
31/08/2019,114.6
30/09/2019,109.0
31/10/2019,110.5
30/11/2019,114.5
31/12/2019,123.3
31/01/2020,111.6
29/02/2020,107.9
31/03/2020,115.2
30/04/2020,98.9
31/05/2020,97.7
30/06/2020,96.8
31/07/2020,96.4
31/08/2020,100.6
